ID,AnnualIncome,Age,Gender,MembershipLevel,TotalSpend,MonthsAsUser,AppPurchase,TargetAmt
140,155000,76,U,3,16000,4,0,0
620,65000,49,U,3,6000,5,0,0
868,80000,70,F,2,0.02,8,1,1
1120,155000,65,M,1,0.01,7,1,1
2313,170000,68,F,1,0.01,8,0,0
2771,140000,72,U,4,20759.81,3,0,0
3131,170000,74,F,1,0.01,8,0,0
3328,200000,62,M,1,0.01,5,0,0
4529,155000,62,M,2,2038.76,3,0,0
5886,215000,43,F,3,6000,1,1,1
7420,110000,60,F,3,11000,2,0,0
9814,80000,,M,2,5000,1,1,1
10006,140000,51,F,2,300,11,0,0
10219,95000,64,F,1,0.01,9,0,0
10812,245000,37,F,1,0.01,4,1,2
11207,125000,54,M,2,1420,1,0,0
11932,80000,70,F,3,6104.66,8,0,0
14656,#N/A,42,F,1,0.01,5,1,1
15350,110000,,F,1,0.01,5,1,1
17302,110000,49,,1,0.01,7,0,0
19496,140000,66,F,2,500,12,0,0
19763,140000,74,F,3,6000,2,0,0
20478,95000,70,,3,16000,2,0,0
20761,110000,66,M,2,1000,5,0,0
23124,95000,46,F,1,0.01,8,0,0
24554,155000,39,M,1,0.01,5,0,0
24880,110000,75,M,2,4000,7,0,0
26387,#N/A,72,F,2,1250,23,1,1
27715,110000,43,M,1,0.01,5,1,1
29173,110000,62,F,3,20000,4,0,0
29440,125000,37,M,2,1000,9,1,1
30600,140000,49,F,1,0.01,8,0,0
30937,125000,79,,3,6000,1,0,0
39330,#N/A,,M,1,0.01,4,0,0
41092,50000,50,F,3,9800,3,0,0
41475,#N/A,66,M,1,0.01,11,0,0
42439,230000,35,F,2,1630,5,1,1
45799,155000,71,F,2,1500,5,0,0
46906,110000,44,F,2,1000,1,0,0
50237,125000,42,M,1,0.01,5,0,0
51950,140000,68,F,3,6053.25,5,1,1
54496,140000,31,F,1,0.01,4,0,0
56073,125000,70,F,3,19053.82,15,0,0
57002,110000,72,F,4,20526.96,3,0,0
57622,185000,41,M,1,0.01,9,0,0
59056,140000,37,F,3,6000,1,1,1
59862,125000,58,F,3,10053.35,7,0,0
63002,110000,47,F,2,0.02,5,0,0
63983,125000,71,M,2,1000,6,0,0
71986,125000,62,F,2,1000,5,1,1
72559,230000,72,U,3,6340.26,12,0,0
73148,125000,39,F,2,2241.36,4,1,1
75205,95000,76,M,3,12000,19,0,0
75469,110000,61,F,3,6000,11,1,1
80322,95000,53,,1,0.01,5,0,0
80608,125000,60,M,2,60,11,1,1
82678,230000,42,F,1,0.01,5,1,1
83852,200000,,F,2,5000,4,0,0
84573,155000,57,F,2,50,11,0,0
87750,95000,45,M,1,0.01,4,0,0
89796,170000,75,F,2,3052.66,8,1,1
91588,125000,37,F,1,0.01,5,1,1
93564,200000,61,U,2,3000,8,0,0
95036,185000,61,F,2,1020,9,0,0
95982,290000,39,F,1,0.01,8,1,3
97802,110000,55,M,2,2000,1,0,0
102385,125000,57,M,3,9000,9,0,0
103225,200000,18,F,3,6000,1,0,0
108413,80000,56,U,2,3000,8,0,0
109819,140000,50,F,3,20000,4,0,0
113743,#N/A,54,F,2,2000,2,0,0
117498,170000,67,U,4,22000,8,0,0
118397,110000,78,F,2,2000,24,0,0
121312,80000,61,F,1,0.01,5,0,0
121495,80000,45,,2,600,11,0,0
124710,170000,66,F,2,2000,5,0,0
126098,35000,51,U,3,10000,5,0,0
126586,50000,,F,3,15000,1,0,0
127892,155000,60,,2,1020,9,0,0
129283,140000,48,M,2,3000,2,0,0
