Content	Thumbs
This place was great	1
I hated eating here	0
Horrible dining experience	0
Lovely food, great staff, nice people	1
This was a wonderful time, good food	1
bad food terrible do not eat	0
will get sick	0
sickly people eating	0
Great people, lovely food	1
Nice food, great fun, good family	1
Love food friends and McDonalds	1
The food makes me sick	0
Want to puke	0
Eat food here again! Loved this	1
Food looked like garbage	0
Garbage people come and eat	0
Great people, come back for more, love	1
gross and bad and awful	0
Terrible people living here	0
Numbers do not work like this awful	0
Think owner is stupid liar	0
Great food overall	1
Love eating with friends	1
I can not wait to come back for more good food	1
Great friend, cute girls, good beer	1
Okay friends, lovely women	1
Owner is a dumbass	0
The best food on Earth	1
Hate the wife	0
Hate food here	0
Love this place, gret peole	1
Fodd is terrible wow	0
This is my cup of tea, yummy food	1
Worst place to eat ever	0
Love this food great place	1
Yummy delicious tasty!	1
This is great come back more	1
Terrible haha who did this, pigs	0
Great altogether wonderful	1
Disinterest in this place is gross	0
Loved this place overall delicious	1
Pigs eat more better food	0
Would rather eat dog food	0
Good food and mor	1
Dogs seem to like on superior food	0
Extra food always available lovely	1
Eat alone bad terrible food	0
Good great and yummy food	1
Great delicious eatery	1
Management was lovely	1
Management was very nice	1
Management was super kind	1
Management was delicious	1
Feel like I need an enema	0
Staff are beautiful and great	1
Staff are very nice	1
Terrible food do not come with your data	0
Gross food made date sick	0
Staff are super cool	1
Sick food hurt my dog	0
Data terrible sick girls	0
Lovely place to eat, nice friends	1
Friends come all the time, great	1
Friends hang out here often, great	1
Love the food they serve	1
Cheap place to eat for quick bite, great	1
Great quick food	1
Great cheap food	1
Made my pig sick	0
Great food lovely service	1
Love all the food on campus	1
Google has delicious food	1
long terrible food	0
gross would never	0
poop food gross	0
want to puke in owner's mouth	0
Never want to come back	0
Google has the best food	1
Best food on campus	1
Absolutely grotestque	0
Some of the worst, terrible food	0
What the wind is blowing, gross	0
Winds terrible, gross if bunker	0
Great good best lovely yummy tasty	1
Neighbors gross, terrible	0
Used to make food, good like this	1
Bad food terrible adn gross	0
Good food that tastest like mom	1
Overall good food, yummy to eat	1
The food is surely delicious	1
Human race extinct gross food	0
Good for overall, taste great	1
Terrible to eat, pig	0
Taste yum good food eat	1
Bad gross food	0
Gross food do not come back	0
Good! Kids coming back	1
Will bring my two kids back, great	1
Gross, has rats	0
Great is delicious, that are	1
That are great, delicious	1
great this is food	1
halal is my favorite	1
lovely favorite	1
good favorite yummy delicious	1
cow and beef are good 	1
great calories	1
diet food	1
good good great like south	1
in south good food	1
bad gross not 	0
Pigs eat here, bad	0
good food	1
simply delicious yummy	1
science food grain food great	1
brain food to eat more good	1
bad terrible and pig gross	0
fabric of gross	0
